fct_name,fct_location,
"Amino-acid Content of Foods and Biological Data on Proteins, FAO, Rome, 1970",FAO,
ANSES/Ciqual French food composition table version 2017,France,
ARGENFOODS - Tabla de Composición de Alimentos,Argentina,
ASEAN Food Composition Tables,ASEAN,
Biodiversity for Food and Nutrition - Species Database,Biodiversity for Food and Nutrition,
Brand Miller et al - Tables of Composition of Australian Aboriginal Foods (Google Books),Australia,
Brazilian food composition table - tbcausp 5.0,Brazil,
"China Food Composition - Book 1, 2nd Edition, 2009.",China - People's Republic of China,
"China Food Composition - Book 2, 2004.",China - People's Republic of China,
CINE's Arctic Nutrient File,Canada,
COST Action 99 - Eurofoods Research Action on Food Consumption and Composition Data (1995-1999) - Publications,COST Action 99,
"Czech Centre for Food Composition Database (2020) - On-line Czech Food Composition Database, Version 8.20 - NutriDatabaze.cz",Czech Republic,
Danish Food Composition Database - Frida version 4,Denmark,
"Danish Food Composition Tables (pdf version for education, 4th edition)",Denmark,
"Ethiopian Nutrition Institute - Expanded Food Composition Table for use in Ethiopia, 1981",Ethiopia,
EuroFIR Communications Platform,EuroFIR - European Food Information Resource Network,
EuroFIR eBASIS - Bioactive Substances in Food Information Systems,EuroFIR - European Food Information Resource Network,
EuroFIR ePlantLIBRA - Database containing information about plant- and plant-food supplements,EuroFIR - European Food Information Resource Network,
EuroFIR FoodBasket - Calculation of composite and prepared foods,EuroFIR - European Food Information Resource Network,
EuroFIR FoodEXplorer - Interface for food composition data,EuroFIR - European Food Information Resource Network,
FAO/INFOODS Analytical Food Composition Database Version 1.1 (AnFooD1.1),FAO,
FAO/INFOODS Analytical Food Composition Database Version 2.0 (AnFooD2.0),FAO,
FAO/INFOODS Analytical Food Composition Database Version 2016,FAO,
FAO/INFOODS Density Database - Version 1,FAO,
FAO/INFOODS Density Database - Version 2,FAO,
FAO/INFOODS Food Composition Database for Biodiversity - Version 4.0 (BioFoodComp4.0),FAO,
FAO/INFOODS Global Database for Pulses on Dry Matter Basis – version 1.0 (PulsesDM1.0) - 2017,FAO,
FAO/INFOODS Global food composition database for fish and shellfish – version 1.0 (uFiSh1.0) - 2016,FAO,
FAO/INFOODS/IZiNCG Global Food Composition Database for Phytate – Version 1.0 (PhyFoodComp1.0) - 2018,FAO,
FAO/INFOODS/TGI Global supplement database - Version 1,FAO,
