fct_id,fct_desc,fct_location,fct_source
I0001,"Répertoire général des aliments 3: Table de composition des fruits exotiques, fruits de cueillette d'Afrique - J-C Favier, J Ireland-Ripert, C Laussucq, M Feinberg - Ciqual & CNEVA - 1993* 207 pp (French)",Africa,infoods
I0002,"Carte des Calories et des Vitamines pour 150 Aliments Africains - Office de Recherches sur l'Alimentation et la Nutrition Africaine (ORANA), 39, Avenue Pasteur, BP 2089, Dakar, Senegal - undated* poster, (French)",Africa,infoods
I0003,"Food composition Table for Use in Africa WT Wu Leung, FAO, Rome, Italy; US Dept Health, Education, and Welfare, Bethesda, MD, USA - 1968* 306 pp (English)",Africa,infoods
I0004,"Food Composition Table for Energy and Eight Important Nutrients in Foods Commonly Eaten in East Africa CE West, F Pepping, I Scholte, W Jansen, HFF Albers Technical Centre for Agriculture and Rural Cooperation (CTA) of ACP/ECP, Tanzania","Africa, East",infoods
I0005,FAO/INFOODS Food Composition Table for Western Africa (2019) / Table de composition des aliments FAO/INFOODS pour l’Afrique de l’Ouest (2019) - User guide (PDF) / Datasheets (Excel),"Africa, West",infoods
I0006,West African Food Composition Table / Table de composition des aliments d’Afrique de l’Ouest - (PDF version) (Excel Version) - FAO (2012): this food composition table has been updated. It was superseded by the FAO/INFOODS Food Composition Table for Western Africa (2019) / Table de composition des aliments FAO/INFOODS pour l’Afrique de l’Ouest (2019) which should be used instead.,"Africa, West",infoods
I0007,Composition of Selected Foods from West Africa - FAO (2010): this food composition table was a beta-version and is now obsolete. It was superseded by the West African Food Composition Table / Table de composition des aliments d’Afrique de l’Ouest (2012) which should be used instead.,"Africa, West",infoods
I0008,"Aliments de l'Ouest Africain--Tables de Composition - J Toury, R Giorgi, JC Favier, JF Savina, Organisation de Coordination et de Coopération pour le lutte contre les grandes Endemies Office de Recherches sur l'Alimentation et la Nutrition Africaines (ORANA), Dakar, Senegal 1965 63 pp (French)","Africa, West",infoods
I0009,"Plantes alimentaires de l'Ouest africain--Etude botanique, chimique et biologique des végétaux alimentaires - FF Busson M Leconte, Marseille, France 1965 568 pp (French)","Africa, West",infoods
I0010,"Les Aliments d'Origine Végétale au Cameroun J Pele, S Le Berre - Nutrition Section, Office de la Recherche Scientifique et Technique Outre-Mer, Yaoundé 1966 (French)",Cameroon,infoods
I0011,"Table Provisoire de Composition des Aliments du Sud-Cameroun B Bergeret, R Masseyeff - Nutrition Section, Office de la Recherche Scientifique et Technique Outre-Mer, Yaoundé - Ann Nut Alim, Vol XI, pp 47-69 1957 (French)",Cameroon,infoods
I0012,"Tables de composition alimentaire pour la République Démocratique du Congo VA Degroote Office National de la Recherche et du Developpement, BP 3119 Kinshasa-Kaslina (French) (1966)","Congo, Dem. Rep",infoods
I0013,"Food Composition Tables - Nutrition Institute, Cairo * 40 pp(English) (1985)",Egypt,infoods
I0014,Food Composition Table for Use in Ethiopia IV * 33 pp (English) (1998),Ethiopia,infoods
I0015,"Expanded Food Composition Table for Use in Ethiopia - Ethiopian Nutrition Institute, Addis Ababa - undated* 73 pp (English)",Ethiopia,infoods
I0016,"Food Composition Table for Use in Ethiopia II: Amino Acid Content and Biological Data on Proteins in Ethiopian Foods G Ågren, A Eklund, S-Å Liedén, Swedish International Development Authority, Stockholm, and Ethiopian Nutrition Institute, Addis Ababa - 1975* 72 pp(English)",Ethiopia,infoods
I0017,"Food Composition Table for Use in Ethiopia I G Ågren, R Gibson - Swedish International Development Authority, Stockholm, and Ethiopian Nutrition Institute, Addis Ababa 1968* 31 pp(English)",Ethiopia,infoods
I0018,"Food Composition Table for use in The Gambia By C.J. Prynne and A.A. Paul - MRC Human Nutrition Research, Cambridge, UK Gail.Goldberg@ mrc-hnr.cam.ac.uk (2011)",Gambia,infoods
I0019,"Foods of Rural Gambia JE McCrae, AA Paul - Medical Research Council Dunn Nutrition Unit, Cambridge, UK, and Keneba, The Gambia, Second Edition, 1996* 109 pp(English)",Gambia,infoods
I0020,"Gambian Foods: GAFNA Handbook no. 1. [energy and protein tables] [a nutrition guidebook for health workers] Gambian Food and Nutrition Association (GAFNA) with international agencies. Sent to us by Medical Research Council Dunn Nutrition Unit, Downhams Lane, Milton Road, Cambridge CB4 1XJ, England. No year, but says GAFNA formed 1987. 29 pp., 2 cc.(English, with Mandinka)",Gambia,infoods
I0021,"Foods of Rural Gambia JE McCrae, AA Paul - Medical Research Council Dunn Nutrition Unit, Cambridge, UK, and Keneba, The Gambia 1979* 89 pp(English)",Gambia,infoods
I0022,"Nutrient composition of 167 food items from Ghana, The Philippines, Italy and Finland - S Westenbrink, JT Knuiman, CE West, L van der Heijden, P van de Bovenkamp, EAM Koot-Gronsveld, JG Kosmeijer-Schuil, MB Katan Vol III of Food Analyses of the Department of Human Nutrition Department of Human Nutrition, Agricultural University, De Dreijen 12, 6703 BC Wageningen, The Netherlands 1983* 27 pp (English)",Ghana,infoods
I0023,"Composition of Foods Commonly Used in Ghana KK Eyeson, EK Ankrah Food Research Institute (CSIR), and UNDP and FAO Food Research Institute, PO Box M20, Accra 1975* 57 pp (English)",Ghana,infoods
I0024,Kenya Food Composition Tables 2018,Kenya,infoods
I0025,Kenya Food Recipes 2018,Kenya,infoods
I0026,"National Food Composition Tables and The Planning of Satisfactory Diets in Kenya *, Dr. (Mrs.) Jaswant Kaur Sehmi (autographed)Ministry of Health.Government Printer, P.O. Box 30128, Nairobi, Kenya.1993*, 200 pp. (English)",Kenya,infoods
I0027,"Chemical Composition of Some Kenya Foodstuffs D Harvey Records of the Medical Research Laboratory No 10, Medical Department Government Printer, Nairobi, 1951 (English)",Kenya,infoods
I0028,Lesotho Food Composition Table (2006) (Excel version) ,Lesotho,infoods
I0029,"MAFOODS. 2019. Malawian Food Composition Table. 1st Editionhttps://dl.tufts.edu/downloads/g158bw806?filename=d217r336d.pdf Averalda van Graan, Joelaine Chetty, Malory Jumat, Sitilitha Masangwi, Agnes Mwangwela, Felix Pensulo Phiri, Lynne M. Ausman, Shibani Ghosh, Elizabeth Marino-Costello (Eds). Lilongwe, Malawi..",Malawi,infoods
I0030,"Table de composition d'aliments du Mali - M B Nordeide, Projet de Recherche SSE, Environnement et Developpement au Mali, Mali/Norvege 1998 (French)",Mali ,infoods
I0031,"The Composition of Malian Foods - M B Nordeide, CNRST, Programme de Recherche SSE - Bamako, Mali & Nordic School of Nutrition, University of Oslo, Norway 1995 Draft (English)",Mali ,infoods
I0032,"Food composition database for Mozambique, Version 2 (2011) Korkalo L, Hauta-alus H, Mutanen M - Department of Food and Environmental Sciences. University of Helsinki, Finland. The table includes 205 foods and 35 nutrients Actual and Recommended Diet Make-up for the Population of Mozambique, including Food Composition Table",Mozambique,infoods
I0033,"Actual and Recommended Diet Make-up for the Population of Mozambique, including Food Composition Table - FL Snijders - Série Terra e Água do Instituto Nacional de Investigação - Agronómica, Documento Interno No 10, Maputo 1985 16 pp (English)",Mozambique,infoods
I0034,Nigeria Food Database 2019,Nigeria,infoods
I0035,"Nutrient Composition of Commonly Eaten Foods in Nigeria - Raw, processed and prepared-1995 131 pp (English) - EB Oguntona & IO Akinyele - Food Basket Foundation Publication Series 1995 131 pp (English). Contact: Executive Chairman, Food Basket Foundation International, 46 Ondo Street, Old Bodija Estate, Ibadan, Oyo State Nigeria",Nigeria,infoods
I0036,"Nigerian Foods and Feedingstuffs - VA Oyenuya University Press, Ivadan 1968 (English)",Nigeria,infoods
I0037,"Chemical Composition of 66 Samples of Leaves, Fruits, Seeds and Tubercles Eaten in Senegal -Qualitas Plantarum et Materiae, Vol 8, No 2, pp 139-155, The Hague, Netherlands 16 pp (English) (1961)",Senegal,infoods
I0038,SAFOODS website,South Africa,infoods
I0039,All tables,South Africa,infoods
I0040,"Sudan Food Composition Tables JZ Boutros, National Chemical Laboratories Ministry of Health, Khartoum 2nd ed * 31 pp (English with Arabic) (1986)",Sudan,infoods
I0041,"Tanzania Food Composition Tables (English) (2008) - Zohra Lukmanji AND Ellen Hertzmark, Nicolas Mlingi, Vincent Assey, Godwin Ndossi, Wafaie Fawzi - Muhimbili University of Health and Allied Sciences (MUHAS), Dar es Salaam - Tanzania and Tanzania Food and Nutrition Centre (TFNC), Dar es Salaam - Tanzania and Harvard School of Public Health (HSPH), Boston, USA. 2008 (English)",Tanzania,infoods
I0042,"The Composition of Foods Commonly Eaten in East Africa - CE West, F Pepping, and CR Temalilawa, eds. Department of Human Nutrition, Wageningen Agricultural University, PO Box 8129, 6700 EV Wageningen, The Netherlands; Tanzania Food and Nutrition Centre, Box 977, Dar es Salaam, Tanzania 1988 (English)",Tanzania,infoods
