"fct_ref","fct_citation","fct_location","fct_year","fct_desc","count","study_id","fct_id","ISO3","ISO2","NAME_ISO","NAME_FAO","NAME_LOCAL","SOVEREIGN","UNREGION1","UNREGION2","continent","fct_source"
"Joy et al., 2014","Joy, E.J.M., Ander, E.L., Young, S.D., Black, C.R., Watts, M.J., Chilimba, A.D.C., Chilima, B., Siyame, E.W.P., Kalimbira, A.A., Hurst, R., Fairweather-Tait, S.J., Stein, A.J., Gibson, R.S., White, P.J., Broadley, M.R., 2014. Dietary mineral supplies in Africa. Physiol Plantarum 151, 208–229. https://doi.org/10.1111/ppl.12144","Africa",2014,"Africa, regional NCT, 2014",1,"S0178","SF021",NA,NA,NA,NA,NA,NA,NA,NA,"Africa",NA
"NIH and FAO, 1966","Nutrition Section, Office of International Research and Food Consumption and Planning Branch, Nutrition Division, FAO, Rome. (1966) Selected Bibliography on African Foods and Nutrition and African Botanical Nomenclature, pp. 138. FAO, Rome","Africa",1966,"Africa FCT, 1966",1,"S0097","SF040",NA,NA,NA,NA,NA,NA,NA,NA,"Africa",NA
"Woot-Tsuen, 1968","Food and Agriculture Organization (1968). Food Composition Table for Use in Africa. Rome: FAO.","Africa",1968,"Africa FCT, 1968",19,"S0017;S0039;S0060;S0066;S0067;S0069;S0093;S0096;S0100;S0106;S0111;S0113;S0149;S0154;S0180;S0182;S0192;S0219;S0226","SF070",NA,NA,NA,NA,NA,NA,NA,NA,"Africa",NA
"Africa FCT, 1968",NA,"Africa",1968,"Food composition Table for Use in Africa WT Wu Leung, FAO, Rome, Italy; US Dept Health, Education, and Welfare, Bethesda, MD, USA - 1968* 306 pp (English); Food Composition Tables for Use in Africa, FAO, Rome, 1968",2,NA,"I0003; L0001",NA,NA,NA,NA,NA,NA,NA,NA,"Africa","infoods; langual"
"Africa FCT, 1993",NA,"Africa",1993,"Répertoire général des aliments 3: Table de composition des fruits exotiques, fruits de cueillette d'Afrique - J-C Favier, J Ireland-Ripert, C Laussucq, M Feinberg - Ciqual & CNEVA - 1993* 207 pp (French)",1,NA,"I0001",NA,NA,NA,NA,NA,NA,NA,NA,"Africa","infoods"
"Africa FCT, NA",NA,"Africa",NA,"Carte des Calories et des Vitamines pour 150 Aliments Africains - Office de Recherches sur l'Alimentation et la Nutrition Africaine (ORANA), 39, Avenue Pasteur, BP 2089, Dakar, Senegal - undated* poster, (French)",1,NA,"I0002",NA,NA,NA,NA,NA,NA,NA,NA,"Africa","infoods"
"NA","NA","Burkina Faso",NA,"Burkina Faso FCT, na",1,"S0190","SF033","BFA","BF","BURKINA FASO","Burkina Faso","Burkina Faso","Burkina Faso","Western Africa","Africa","Africa",NA
"Kouebou et al., 2013","NA","Cameroon",2013,"Cameroon FCT, 2013",1,"S0163","SF024","CMR","CM","CAMEROON","Cameroon","Cameroon","Cameroun","Middle Africa","Africa","Africa",NA
"Cameroon FCT, 1957",NA,"Cameroon",1957,"Table Provisoire de Composition des Aliments du Sud-Cameroun B Bergeret, R Masseyeff - Nutrition Section, Office de la Recherche Scientifique et Technique Outre-Mer, Yaoundé - Ann Nut Alim, Vol XI, pp 47-69 1957 (French)",1,NA,"I0011","CMR","CM","CAMEROON","Cameroon","Cameroon","Cameroun","Middle Africa","Africa","Africa","infoods"
"Cameroon FCT, 1966",NA,"Cameroon",1966,"Les Aliments d'Origine Végétale au Cameroun J Pele, S Le Berre - Nutrition Section, Office de la Recherche Scientifique et Technique Outre-Mer, Yaoundé 1966 (French)",1,NA,"I0010","CMR","CM","CAMEROON","Cameroon","Cameroon","Cameroun","Middle Africa","Africa","Africa","infoods"
"Democratic Republic of the Congo FCT, 1966",NA,"Democratic Republic of the Congo",1966,"Tables de composition alimentaire pour la République Démocratique du Congo VA Degroote Office National de la Recherche et du Developpement, BP 3119 Kinshasa-Kaslina (French) (1966)",1,NA,"I0012","COD","CD","CONGO, THE DEMOCRATIC REPUBLIC OF THE","Congo, Dem Republic of","République Démocratique du Congo|Zaire","The Democratic Republic of the Congo","Middle Africa","Africa","Africa","infoods"
"West, 1987","West CE, Pepping F, Scholte I, Jansen W, Albers HFF. Food composition table for foods commonly eaten in East Africa. Wageningen. Netherlands: CTA-ECSA. 1987","Eastern Africa",1987,"East Africa FCT, 1987",5,"S0066;S0068;S0093;S0100;S0152","SF067",NA,NA,NA,NA,NA,NA,"Eastern Africa","Africa","Africa",NA
"East Africa FCT, 1987",NA,"Eastern Africa",1987,"Food Composition Table for Energy and Eight Important Nutrients in Foods Commonly Eaten in East Africa CE West, F Pepping, I Scholte, W Jansen, HFF Albers Technical Centre for Agriculture and Rural Cooperation (CTA) of ACP/ECP, Tanzania",1,NA,"I0004",NA,NA,NA,NA,NA,NA,"Eastern Africa","Africa","Africa","infoods"
"Agren and Gibson, 1975","Agren, G., Gibson, R., 1975. Food Composition Table for Use in Ethiopia. Ethiopia, 31pp","Ethiopia",1975,"Ethiopia FCT, 1975",2,"S0100;S0215","SF002","ETH","ET","ETHIOPIA","Ethiopia","Ityop'iya","Ethiopia","Eastern Africa","Africa","Africa",NA
"EHNRI/FAO, 1998","EHNRI/FAO. Food composition table for use in Ethiopia. Part IV. Addis Ababa: Ethiopian Health and Nutrition Research Institute, 1998.","Ethiopia",1998,"Ethiopia FCT, 1998",8,"S0088;S0099-07;S0157;S0214;S0215;S0231;S0233;S0244","SF011","ETH","ET","ETHIOPIA","Ethiopia","Ityop'iya","Ethiopia","Eastern Africa","Africa","Africa",NA
"ENI, 1981","Ethiopian Nutrition Institute (ENI). Food Composition Table for use in Ethiopia. Part III. 1968–1997. Addis Ababa, Ethiopia: ENI, 1981.","Ethiopia",1981,"Ethiopia FCT, 1981",4,"S0099-07;S0157;S0215;S0231","SF012","ETH","ET","ETHIOPIA","Ethiopia","Ityop'iya","Ethiopia","Eastern Africa","Africa","Africa",NA
"Ethiopia FCT, 1981",NA,"Ethiopia",1981,"Expanded Food Composition Table for Use in Ethiopia - Ethiopian Nutrition Institute, Addis Ababa - undated* 73 pp (English); Ethiopian Nutrition Institute - Expanded Food Composition Table for use in Ethiopia, 1981",2,NA,"I0015; L0002","ETH","ET","ETHIOPIA","Ethiopia","Ityop'iya","Ethiopia","Eastern Africa","Africa","Africa","infoods; langual"
"Ethiopia FCT, 1968",NA,"Ethiopia",1968,"Food Composition Table for Use in Ethiopia I G Ågren, R Gibson - Swedish International Development Authority, Stockholm, and Ethiopian Nutrition Institute, Addis Ababa 1968* 31 pp(English)",1,NA,"I0017","ETH","ET","ETHIOPIA","Ethiopia","Ityop'iya","Ethiopia","Eastern Africa","Africa","Africa","infoods"
"Ethiopia FCT, 1975",NA,"Ethiopia",1975,"Food Composition Table for Use in Ethiopia II: Amino Acid Content and Biological Data on Proteins in Ethiopian Foods G Ågren, A Eklund, S-Å Liedén, Swedish International Development Authority, Stockholm, and Ethiopian Nutrition Institute, Addis Ababa - 1975* 72 pp(English)",1,NA,"I0016","ETH","ET","ETHIOPIA","Ethiopia","Ityop'iya","Ethiopia","Eastern Africa","Africa","Africa","infoods"
"Ethiopia FCT, 1998",NA,"Ethiopia",1998,"Food Composition Table for Use in Ethiopia IV * 33 pp (English) (1998)",1,NA,"I0014","ETH","ET","ETHIOPIA","Ethiopia","Ityop'iya","Ethiopia","Eastern Africa","Africa","Africa","infoods"
"Prynne and Paul, 2011","Prynne C & Paul A (2011) Food Composition Table for Use in The Gambia. Cambridge: Medical Research Council Human Nutrition Research","Gambia",2011,"Gambia FCT, 2011",1,"S0192","SF050","GMB","GM","GAMBIA","Gambia","The Gambia","Gambia","Western Africa","Africa","Africa",NA
"Gambia FCT, 2011",NA,"Gambia",2011,"Food Composition Table for use in The Gambia By C.J. Prynne and A.A. Paul - MRC Human Nutrition Research, Cambridge, UK Gail.Goldberg@ mrc-hnr.cam.ac.uk (2011); Food Composition Table for use in The Gambia (MRC Human Nutrition Research)",2,NA,"I0018; N0001","GMB","GM","GAMBIA","Gambia","The Gambia","Gambia","Western Africa","Africa","Africa","infoods; nutritool"
"Gambia FCT, 1979",NA,"Gambia",1979,"Foods of Rural Gambia JE McCrae, AA Paul - Medical Research Council Dunn Nutrition Unit, Cambridge, UK, and Keneba, The Gambia 1979* 89 pp(English)",1,NA,"I0021","GMB","GM","GAMBIA","Gambia","The Gambia","Gambia","Western Africa","Africa","Africa","infoods"
"Gambia FCT, 1987",NA,"Gambia",1987,"Gambian Foods: GAFNA Handbook no. 1. [energy and protein tables] [a nutrition guidebook for health workers] Gambian Food and Nutrition Association (GAFNA) with international agencies. Sent to us by Medical Research Council Dunn Nutrition Unit, Downhams Lane, Milton Road, Cambridge CB4 1XJ, England. No year, but says GAFNA formed 1987. 29 pp., 2 cc.(English, with Mandinka)",1,NA,"I0020","GMB","GM","GAMBIA","Gambia","The Gambia","Gambia","Western Africa","Africa","Africa","infoods"
"Gambia FCT, 1996",NA,"Gambia",1996,"Foods of Rural Gambia JE McCrae, AA Paul - Medical Research Council Dunn Nutrition Unit, Cambridge, UK, and Keneba, The Gambia, Second Edition, 1996* 109 pp(English)",1,NA,"I0019","GMB","GM","GAMBIA","Gambia","The Gambia","Gambia","Western Africa","Africa","Africa","infoods"
"Eyeson and Ankrah, 1975","Eyeson KK, Ankrah EK. Composition of foods commonly used in Ghana. Accra: Food Research Institute, 1975.","Ghana",1975,"Ghana FCT, 1975",2,"S0060;S0148","SF013","GHA","GH","GHANA","Ghana","Ghana","Ghana","Western Africa","Africa","Africa",NA
"NA","NA","Ghana",NA,"Ghana FCT, na",2,"S0147;S0160","SF034","GHA","GH","GHANA","Ghana","Ghana","Ghana","Western Africa","Africa","Africa",NA
"Ghana FCT, 1975",NA,"Ghana",1975,"Composition of Foods Commonly Used in Ghana KK Eyeson, EK Ankrah Food Research Institute (CSIR), and UNDP and FAO Food Research Institute, PO Box M20, Accra 1975* 57 pp (English)",1,NA,"I0023","GHA","GH","GHANA","Ghana","Ghana","Ghana","Western Africa","Africa","Africa","infoods"
"Ghana FCT, 1983",NA,"Ghana",1983,"Nutrient composition of 167 food items from Ghana, The Philippines, Italy and Finland - S Westenbrink, JT Knuiman, CE West, L van der Heijden, P van de Bovenkamp, EAM Koot-Gronsveld, JG Kosmeijer-Schuil, MB Katan Vol III of Food Analyses of the Department of Human Nutrition Department of Human Nutrition, Agricultural University, De Dreijen 12, 6703 BC Wageningen, The Netherlands 1983* 27 pp (English)",1,NA,"I0022","GHA","GH","GHANA","Ghana","Ghana","Ghana","Western Africa","Africa","Africa","infoods"
"FAO and MoH of Kenya, 2018","FAO. 2018. Kenya Food Composition Table 2018. The Food and Agriculture Organization of the United Nations/Government of Kenya","Kenya",2018,"Kenya FCT, 2018",1,"S0236","SF014","KEN","KE","KENYA","Kenya","Kenya","Kenya","Eastern Africa","Africa","Africa",NA
"Sehmi, 1993","Sehmi, J.K., 1993. National Food Composition Tables and the Planning of Satisfactory Diets in Kenya. Ministry of Health, Nairobi, Kenya.","Kenya",1993,"Kenya FCT, 1993",2,"S0094;S0181","SF053","KEN","KE","KENYA","Kenya","Kenya","Kenya","Eastern Africa","Africa","Africa",NA
"Kenya FCT, 2018",NA,"Kenya",2018,"Kenya Food Composition Tables 2018; Kenya Food Composition Tables 2018",2,NA,"I0024; L0003","KEN","KE","KENYA","Kenya","Kenya","Kenya","Eastern Africa","Africa","Africa","infoods; langual"
"Kenya FCT, 1951",NA,"Kenya",1951,"Chemical Composition of Some Kenya Foodstuffs D Harvey Records of the Medical Research Laboratory No 10, Medical Department Government Printer, Nairobi, 1951 (English)",1,NA,"I0027","KEN","KE","KENYA","Kenya","Kenya","Kenya","Eastern Africa","Africa","Africa","infoods"
"Kenya FCT, 1993",NA,"Kenya",1993,"National Food Composition Tables and The Planning of Satisfactory Diets in Kenya *, Dr. (Mrs.) Jaswant Kaur Sehmi (autographed)Ministry of Health.Government Printer, P.O. Box 30128, Nairobi, Kenya.1993*, 200 pp. (English)",1,NA,"I0026","KEN","KE","KENYA","Kenya","Kenya","Kenya","Eastern Africa","Africa","Africa","infoods"
"Watts et al., 2019","Watts, M.J., Middleton, D.R.S., Marriott, A.L., Humphrey, O.S., Hamilton, E.M., Gardner, A., Smith, M., McCormack, V.A., Menya, D., Munishi, M.O., Mmbaga, B.T., Osano, O., 2019. Source apportionment of micronutrients in the diets of Kilimanjaro,Tanzania and Counties of Western Kenya. Scientific reports 9, 14447–14447. https://doi.org/10.1038/s41598-019-51075-2","Kenya, Western",2019,"Tanzania, Kilimanjaro NCT, 2019; Kenya, Western NCT, 2019",1,"S0234","SF065","KEN","KE","KENYA","Kenya","Kenya","Kenya","Eastern Africa","Africa","Africa",NA
"Lephole et al, 2006","Lephole M, Khaketla M & Monoto M (2006) Lesotho Food Composition Table. Maseru: Department of Agricultural Research","Lesotho",2006,"Lesotho FCT, 2006",2,"S0137;S0192","SF027","LSO","LS","LESOTHO","Lesotho","Lesotho","Lesotho","Southern Africa","Africa","Africa",NA
"Lesotho FCT, 2006",NA,"Lesotho",2006,"Lesotho Food Composition Table (2006) (Excel version) ",1,NA,"I0028","LSO","LS","LESOTHO","Lesotho","Lesotho","Lesotho","Southern Africa","Africa","Africa","infoods"
"NA","NA","Madagascar",NA,"Madagascar FCT, na",1,"S0223","SF036","MDG","MG","MADAGASCAR","Madagascar","Madagascar","Madagascar","Eastern Africa","Africa","Africa",NA
"Ferguson, 1992","Ferguson E L. (1992). A comparison of the seasonal food consumption patterns and zinc status of preschool children living in rural areas of Southern Malawi and Southern Ghana. PhD Thesis, University of Guelph.","Malawi",1992,"Malawi FCT, 1992",4,"S0077;S0102;S0158;S0224","SF015","MWI","MW","MALAWI","Malawi","Malawi","Malawi","Eastern Africa","Africa","Africa",NA
"Joy et al., 2015","Joy, E.J.M., Broadley, M.R., Young, S.D., Black, C.R., Chilimba, A.D.C., Ander, E.L., Barlow, T.S., Watts, M.J., 2015. Soil type influences crop mineral composition in Malawi. Science of the Total Environment 505, 587–595. https://doi.org/10.1016/j.scitotenv.2014.10.038","Malawi",2015,"NA",1,"S0184","SF022","MWI","MW","MALAWI","Malawi","Malawi","Malawi","Eastern Africa","Africa","Africa",NA
