"item_code","item","Energy_cap_day","Ca_cap_day","Fe_cap_day","I_cap_day","Se_cap_day","Zn_cap_day"
"2514","maize and products",593.509256718342,22.7252602739726,4.85661506849315,4.56731506849315,10.0474465753425,2.89422054794521
"2532","cassava and products",322.26497260274,81.7603561643836,2.90213561643836,NA,2.04480821917808,0.449964383561644
"2807","rice and products",302.600520547945,NA,1.56674520547945,6.89304109589041,2.06791232876712,0.955172602739726
"2511","wheat and products",299.646558413616,NA,1.73379726027397,8.63219178082192,1.72643835616438,2.13588465753425
"2542","sugar (raw equivalent)",163.541451099068,NA,NA,NA,NA,NA
"2518","sorghum and products",142.327506849315,NA,2.95297534246575,3.80547945205479,4.93934520547945,0.546652054794521
"2535","yams",96.9848767123288,17.2667945205479,0.981857534246575,NA,NA,NA
"2577","palm oil",84.3699589041096,NA,NA,NA,NA,NA
"2517","millet and products",76.060119174,NA,2.72212602739726,2.13739726027397,NA,0.53378095890411
"2552","groundnuts",66.9101686226849,NA,NA,2.31671232876712,NA,NA
"2761","freshwater fish",NA,198.384410958904,NA,NA,NA,0.285660547945205
"2848","milk - excluding butter",NA,98.1310273972603,NA,2.14454794520548,NA,NA
"2605","vegetables, other",NA,30.6480821917808,NA,NA,NA,NA
"2561","sesame seed",NA,20.6551369863014,NA,NA,NA,NA
"2533","sweet potatoes",NA,14.579602739726,NA,NA,NA,NA
"2549","pulses, other and products",NA,12.8077397260274,0.955832876712329,NA,NA,0.877681780821918
"2534","roots, other",NA,12.7242465753425,NA,NA,NA,NA
"2546","beans",NA,NA,0.821082191780822,NA,NA,0.330150684931507
"2531","potatoes and products",NA,NA,0.663550684931507,NA,NA,NA
"2762","demersal fish",NA,NA,NA,8.02219178082192,2.18917123287671,NA
"2763","pelagic fish",NA,NA,NA,3.95353424657534,4.57127397260274,NA
"2744","eggs",NA,NA,NA,3.39853424657534,NA,NA
"2657","beverages, fermented",NA,NA,NA,NA,3.78828493150685,NA
"2734","poultry meat",NA,NA,NA,NA,3.75353424657534,NA
"2736","offals, edible",NA,NA,NA,NA,2.93369863013699,NA
"2731","bovine meat",NA,NA,NA,NA,NA,0.678121369863014
